ZipCode,PlaceName,State,County,Lat,Long
01001,Agawam,MA,Hampden,42.0702,-72.6227
01002,Amherst,MA,Hampshire,42.3671,-72.4646
01003,Amherst,MA,Hampshire,42.3871,-72.5301
01005,Barre,MA,Worcester,42.4093,-72.1082
01007,Belchertown,MA,Hampshire,42.2657,-72.4099
01008,Blandford,MA,Hampden,42.1822,-72.9388
01010,Brimfield,MA,Hampden,42.1228,-72.2111
01011,Chester,MA,Hampden,42.2794,-72.9882
01012,Chesterfield,MA,Hampshire,42.3903,-72.8331
01013,Chicopee,MA,Hampden,42.1678,-72.6092
01020,Chicopee,MA,Hampden,42.1901,-72.5667
01021,Chicopee,MA,Hampden,42.1791,-72.5731
01022,Chicopee,MA,Hampden,42.1735,-72.5808
01026,Cummington,MA,Hampshire,42.4382,-72.9095
01027,Easthampton,MA,Hampshire,42.2648,-72.6802
01028,East Longmeadow,MA,Hampden,42.0633,-72.5109
01029,East Otis,MA,Berkshire,42.1874,-73.0566
01030,Feeding Hills,MA,Hampden,42.0701,-72.6616
01031,Gilbertville,MA,Worcester,42.3305,-72.1985
01032,Goshen,MA,Hampshire,42.4578,-72.8186
